annee,mois,jours,heure,uniqueCarrier,flightNum,tailNum,origin,dest,distance,canceled,cancellationCode,diverted,carrierDelay,weatherDelay,nasDelay,securityDelay,lateAircraftDelay
2008,1,1,1714,AS,685,N794AS,PSP,SFO,421,0,,0,NA,NA,NA,NA,NA
2008,1,1,2140,AS,445,N622AS,ONT,SEA,956,0,,0,NA,NA,NA,NA,NA
2008,1,1,1947,AS,70,N799AS,ANC,JNU,571,0,,0,NA,NA,NA,NA,NA
2008,1,1,1820,AS,670,N796AS,SEA,LAS,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,1917,AS,578,N754AS,SEA,DEN,1024,0,,0,4,0,11,0,18
2008,1,1,1555,AS,467,N754AS,PSP,SEA,987,0,,0,2,0,0,0,16
2008,1,1,1759,AS,395,N791AS,SNA,SEA,978,0,,0,NA,NA,NA,NA,NA
2008,1,1,1627,AS,369,N771AS,PSP,PDX,873,0,,0,NA,NA,NA,NA,NA
2008,1,1,1416,AS,425,N780AS,SNA,OAK,371,0,,0,NA,NA,NA,NA,NA
2008,1,1,1203,AS,62,N785AS,SIT,KTN,183,0,,0,NA,NA,NA,NA,NA
2008,1,1,1538,AS,693,N755AS,LAS,SEA,866,0,,0,0,0,0,0,29
2008,1,1,604,AS,236,N760AS,SEA,SFO,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,1515,AS,378,N794AS,SFO,PSP,421,0,,0,NA,NA,NA,NA,NA
2008,1,1,802,AS,256,N775AS,SFO,LAX,337,0,,0,NA,NA,NA,NA,NA
2008,1,1,806,AS,62,N785AS,ANC,JNU,571,0,,0,NA,NA,NA,NA,NA
2008,1,1,558,AS,81,N799AS,SEA,ANC,1449,0,,0,NA,NA,NA,NA,NA
2008,1,1,1905,AS,69,N755AS,SEA,KTN,680,0,,0,NA,NA,NA,NA,NA
2008,1,1,1616,AS,540,N713AS,PDX,SAN,933,0,,0,NA,NA,NA,NA,NA
2008,1,1,740,AS,408,N788AS,PDX,SNA,859,0,,0,NA,NA,NA,NA,NA
2008,1,1,1353,AS,357,N648AS,OAK,SEA,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,2044,AS,453,N775AS,LAX,PDX,834,0,,0,NA,NA,NA,NA,NA
2008,1,1,1432,AS,596,N791AS,SEA,SNA,978,0,,0,NA,NA,NA,NA,NA
2008,1,1,2032,AS,69,N755AS,KTN,JNU,234,0,,0,NA,NA,NA,NA,NA
2008,1,1,1345,AS,419,N713AS,OAK,PDX,543,0,,0,NA,NA,NA,NA,NA
2008,1,1,605,AS,529,N773AS,LAX,SEA,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,1929,AS,67,N708AS,SIT,JNU,95,0,,0,0,0,0,0,37
2008,1,1,1739,AS,468,N785AS,SEA,LAX,954,0,,0,0,0,0,0,28
2008,1,1,2108,AS,391,N785AS,LAX,SFO,337,0,,0,NA,NA,NA,NA,NA
2008,1,1,1933,AS,422,N706AS,SEA,SNA,978,0,,0,0,0,20,0,0
2008,1,1,857,AS,60,N795AS,KTN,SEA,680,0,,0,NA,NA,NA,NA,NA
2008,1,1,1244,AS,92,N796AS,ANC,SEA,1449,0,,0,NA,NA,NA,NA,NA
2008,1,1,651,AS,118,N772AS,FAI,SEA,1533,0,,0,0,0,29,0,0
2008,1,1,1111,AS,194,N799AS,FAI,ANC,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,1018,AS,748,N773AS,SEA,PHX,1107,0,,0,NA,NA,NA,NA,NA
2008,1,1,630,AS,545,N783AS,SAN,SEA,1050,0,,0,NA,NA,NA,NA,NA
2008,1,1,1253,AS,118,N795AS,SEA,LAX,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,854,AS,20,N769AS,SEA,ORD,1721,0,,0,0,0,26,0,0
2008,1,1,1257,AS,185,N799AS,ANC,FAI,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,1630,AS,346,N780AS,OAK,SNA,371,0,,0,NA,NA,NA,NA,NA
2008,1,1,848,AS,313,N713AS,SJC,PDX,569,0,,0,NA,NA,NA,NA,NA
2008,1,1,1244,AS,338,N622AS,SEA,OAK,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,635,AS,388,N794AS,SEA,SJC,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,1012,AS,604,N708AS,SEA,RNO,564,0,,0,7,0,14,0,0
2008,1,1,1124,AS,28,N783AS,SEA,ORD,1721,0,,0,0,0,85,0,0
2008,1,1,628,AS,474,N771AS,PDX,DEN,992,0,,0,NA,NA,NA,NA,NA
2008,1,1,1613,AS,332,N767AS,SEA,SJC,697,0,,0,12,0,5,0,16
2008,1,1,1848,AS,235,N760AS,SFO,PDX,550,0,,0,NA,NA,NA,NA,NA
2008,1,1,2109,AS,498,N788AS,SFO,PSP,421,0,,0,NA,NA,NA,NA,NA
2008,1,1,1911,AS,29,N783AS,ORD,SEA,1721,0,,0,0,0,0,0,83
2008,1,1,1804,AS,714,N773AS,SEA,PHX,1107,0,,0,16,0,18,0,88
2008,1,1,1419,AS,461,N784AS,SNA,SEA,978,0,,0,NA,NA,NA,NA,NA
2008,1,1,NA,AS,488,N792AS,PDX,SNA,859,1,A,0,NA,NA,NA,NA,NA
2008,1,1,1918,AS,475,N713AS,SAN,PDX,933,0,,0,NA,NA,NA,NA,NA
2008,1,1,651,AS,351,N708AS,SFO,SEA,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,1034,AS,62,N785AS,JNU,SIT,95,0,,0,NA,NA,NA,NA,NA
2008,1,1,1958,AS,600,N778AS,PDX,LAS,762,0,,0,0,0,9,0,12
2008,1,1,1436,AS,186,N799AS,FAI,ANC,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,917,AS,355,N767AS,OAK,SEA,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,1037,AS,507,N771AS,DEN,PDX,992,0,,0,NA,NA,NA,NA,NA
2008,1,1,2038,AS,502,N797AS,SEA,SAN,1050,0,,0,NA,NA,NA,NA,NA
2008,1,1,1529,AS,387,N622AS,OAK,SEA,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,110,AS,80,N559AS,ANC,SEA,1449,0,,0,0,0,15,0,0
2008,1,1,645,AS,230,N797AS,PDX,SAN,933,0,,0,NA,NA,NA,NA,NA
2008,1,1,958,AS,353,N784AS,SNA,OAK,371,0,,0,NA,NA,NA,NA,NA
2008,1,1,1821,AS,498,N788AS,SEA,SFO,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,1311,AS,508,N778AS,PDX,DEN,992,0,,0,NA,NA,NA,NA,NA
2008,1,1,915,AS,383,N794AS,SJC,SEA,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,2123,AS,195,N784AS,ANC,FAI,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,1213,AS,340,N784AS,OAK,SNA,371,0,,0,NA,NA,NA,NA,NA
2008,1,1,1627,AS,633,N975AS,LAS,SEA,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,721,AS,766,N948AS,PDX,PHX,1009,0,,0,NA,NA,NA,NA,NA
2008,1,1,2025,AS,477,N969AS,SJC,SEA,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,1735,AS,536,N706AS,GEG,SEA,224,0,,0,NA,NA,NA,NA,NA
2008,1,1,2144,AS,396,N958AS,SEA,OAK,671,0,,0,0,0,8,0,79
2008,1,1,805,AS,401,N977AS,BUR,SEA,937,0,,0,NA,NA,NA,NA,NA
2008,1,1,1418,AS,513,N969AS,LAX,SEA,954,0,,0,0,0,0,0,28
2008,1,1,1331,AS,608,N975AS,PDX,LAS,762,0,,0,NA,NA,NA,NA,NA
2008,1,1,2137,AS,660,N960AS,SEA,LAS,866,0,,0,16,0,0,0,0
2008,1,1,1901,AS,358,N982AS,SEA,BUR,937,0,,0,6,0,15,0,0
2008,1,1,658,AS,691,N962AS,LAS,SEA,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,645,AS,349,N943AS,LGB,SEA,965,0,,0,NA,NA,NA,NA,NA
2008,1,1,1750,AS,301,N943AS,SJC,PDX,569,0,,0,NA,NA,NA,NA,NA
2008,1,1,1025,AS,695,N975AS,LAS,PDX,762,0,,0,NA,NA,NA,NA,NA
2008,1,1,1500,AS,381,N962AS,BOI,SEA,399,0,,0,NA,NA,NA,NA,NA
2008,1,1,810,AS,595,N982AS,SAN,SEA,1050,0,,0,NA,NA,NA,NA,NA
2008,1,1,854,AS,407,N969AS,OAK,PDX,543,0,,0,50,0,0,0,0
2008,1,1,1945,AS,541,N972AS,OAK,SEA,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,NA,AS,464,N960AS,SEA,ONT,956,1,A,0,NA,NA,NA,NA,NA
2008,1,1,804,AS,438,N961AS,PDX,BUR,817,0,,0,NA,NA,NA,NA,NA
2008,1,1,1218,AS,371,N960AS,SMF,SEA,605,0,,0,NA,NA,NA,NA,NA
2008,1,1,1946,AS,536,N979AS,SEA,SAN,1050,0,,0,NA,NA,NA,NA,NA
2008,1,1,1317,AS,506,N979AS,SEA,ONT,956,0,,0,NA,NA,NA,NA,NA
2008,1,1,1058,AS,439,N961AS,BUR,PDX,817,0,,0,NA,NA,NA,NA,NA
2008,1,1,1626,AS,435,N979AS,ONT,SEA,956,0,,0,NA,NA,NA,NA,NA
2008,1,1,1448,AS,360,N960AS,SEA,LGB,965,0,,0,4,0,0,0,44
2008,1,1,1521,AS,418,N943AS,PDX,SJC,569,0,,0,NA,NA,NA,NA,NA
2008,1,1,1626,AS,437,N977AS,DEN,SEA,1024,0,,0,20,0,7,0,0
2008,1,1,1156,AS,402,N962AS,SEA,BOI,399,0,,0,NA,NA,NA,NA,NA
2008,1,1,1423,AS,366,N948AS,PDX,OAK,543,0,,0,NA,NA,NA,NA,NA
2008,1,1,733,AS,602,N975AS,PDX,LAS,762,0,,0,NA,NA,NA,NA,NA
2008,1,1,702,AS,427,N958AS,SMF,SEA,605,0,,0,0,0,24,0,0
2008,1,1,1700,AS,696,N962AS,SEA,LAS,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,1144,AS,751,N948AS,PHX,PDX,1009,0,,0,NA,NA,NA,NA,NA
2008,1,1,1232,AS,404,N982AS,SEA,BUR,937,0,,0,12,0,7,0,0
2008,1,1,1027,AS,573,N979AS,OAK,SEA,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,1545,AS,561,N982AS,BUR,SEA,937,0,,0,NA,NA,NA,NA,NA
2008,1,1,729,AS,412,N979AS,SEA,OAK,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,1954,AS,328,N975AS,SEA,SMF,605,0,,0,NA,NA,NA,NA,NA
2008,1,1,2045,AS,434,N943AS,PDX,OAK,543,0,,0,NA,NA,NA,NA,NA
2008,1,1,1142,AS,542,N977AS,SEA,DEN,1024,0,,0,NA,NA,NA,NA,NA
2008,1,1,1736,AS,356,N969AS,SEA,SJC,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,1404,AS,716,N961AS,PDX,PHX,1009,0,,0,NA,NA,NA,NA,NA
2008,1,1,1110,AS,436,N969AS,PDX,LAX,834,0,,0,17,0,2,0,28
2008,1,1,1007,AS,526,N943AS,SEA,SFO,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,1649,AS,316,N972AS,SEA,OAK,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,952,AS,370,N960AS,SEA,SMF,605,0,,0,NA,NA,NA,NA,NA
2008,1,1,1526,AS,350,N958AS,SEA,BUR,937,0,,0,0,0,14,0,26
2008,1,1,1921,AS,342,N977AS,SEA,LGB,965,0,,0,9,0,13,0,17
2008,1,1,1255,AS,345,N943AS,SFO,PDX,550,0,,0,NA,NA,NA,NA,NA
2008,1,1,1843,AS,365,N958AS,BUR,SEA,937,0,,0,0,0,0,0,26
2008,1,1,1242,AS,359,N958AS,OAK,SEA,671,0,,0,0,0,11,0,10
2008,1,1,1558,AS,363,N706AS,SEA,GEG,224,0,,0,NA,NA,NA,NA,NA
2008,1,1,NA,AS,631,N962AS,LAS,SEA,866,1,A,0,NA,NA,NA,NA,NA
2008,1,1,2218,AS,16,N570AS,SEA,MIA,2724,0,,0,NA,NA,NA,NA,NA
2008,1,1,2209,AS,131,N589AS,ORD,ANC,2846,0,,0,0,0,0,0,158
2008,1,1,2308,AS,10,N556AS,SEA,MCO,2553,0,,0,NA,NA,NA,NA,NA
2008,1,1,1809,AS,19,N556AS,MCO,SEA,2553,0,,0,0,0,46,0,0
2008,1,1,2144,AS,130,N548AS,ANC,ORD,2846,0,,0,NA,NA,NA,NA,NA
2008,1,1,2234,AS,273,N586AS,SFO,SEA,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,1151,AS,382,N562AS,SEA,SNA,978,0,,0,NA,NA,NA,NA,NA
2008,1,1,2140,AS,113,N557AS,SEA,FAI,1533,0,,0,NA,NA,NA,NA,NA
2008,1,1,1622,AS,853,N585AS,SEA,LIH,2701,0,,0,NA,NA,NA,NA,NA
2008,1,1,2210,AS,89,N569AS,SEA,ANC,1449,0,,0,NA,NA,NA,NA,NA
2008,1,1,857,AS,630,N585AS,SEA,LAS,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,2209,AS,871,N559AS,HNL,ANC,2777,0,,0,NA,NA,NA,NA,NA
2008,1,1,1214,AS,75,N303AS,SEA,JNU,909,0,,0,53,0,6,0,0
2008,1,1,2343,AS,854,N585AS,LIH,SEA,2701,0,,0,NA,NA,NA,NA,NA
2008,1,1,1810,AS,337,N960AS,LGB,SEA,965,0,,0,0,0,0,0,22
2008,1,1,1337,AS,718,N553AS,SEA,PHX,1107,0,,0,NA,NA,NA,NA,NA
2008,1,1,2136,AS,677,N796AS,LAS,SEA,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,2133,AS,101,N760AS,PDX,ANC,1542,0,,0,NA,NA,NA,NA,NA
2008,1,1,1633,AS,119,N307AS,SAN,SEA,1050,0,,0,NA,NA,NA,NA,NA
2008,1,1,2007,AS,119,N307AS,SEA,ANC,1449,0,,0,NA,NA,NA,NA,NA
2008,1,1,2209,AS,512,N303AS,SEA,LAX,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,1006,AS,386,N958AS,SEA,OAK,671,0,,0,1,0,0,0,20
2008,1,1,1341,AS,443,N972AS,ONT,SEA,956,0,,0,167,0,0,0,0
2008,1,1,1710,AS,801,N626AS,BOS,PDX,2537,0,,0,54,0,0,0,0
2008,1,1,2046,AS,490,N623AS,OAK,SNA,371,0,,0,NA,NA,NA,NA,NA
2008,1,1,1400,AS,65,N774AS,JNU,ANC,571,0,,0,0,0,0,0,74
2008,1,1,1236,AS,503,N708AS,RNO,SEA,564,0,,0,NA,NA,NA,NA,NA
2008,1,1,1523,AS,715,N773AS,PHX,SEA,1107,0,,0,18,0,0,0,0
2008,1,1,1523,AS,543,N703AS,SFO,SEA,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,2247,AS,601,N778AS,LAS,PDX,762,0,,0,NA,NA,NA,NA,NA
2008,1,1,1313,AS,543,N703AS,PSP,SFO,421,0,,0,NA,NA,NA,NA,NA
2008,1,1,838,AS,65,N774AS,KTN,WRG,82,0,,0,NA,NA,NA,NA,NA
2008,1,1,2242,AS,721,N773AS,PHX,SEA,1107,0,,0,0,0,1,0,117
2008,1,1,1157,AS,65,N774AS,PSG,JNU,123,0,,0,0,37,47,0,0
2008,1,1,1700,AS,291,N782AS,LAX,PDX,834,0,,0,NA,NA,NA,NA,NA
2008,1,1,1542,AS,23,N769AS,ORD,SEA,1721,0,,0,NA,NA,NA,NA,NA
2008,1,1,1016,AS,65,N774AS,WRG,PSG,31,0,,0,NA,NA,NA,NA,NA
2008,1,1,2344,AS,191,N774AS,ANC,FAI,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,1536,AS,390,N779AS,SEA,SMF,605,0,,0,NA,NA,NA,NA,NA
2008,1,1,646,AS,65,N774AS,SEA,KTN,680,0,,0,NA,NA,NA,NA,NA
2008,1,1,1929,AS,555,N566AS,PSP,SEA,987,0,,0,NA,NA,NA,NA,NA
2008,1,1,2211,AS,115,N318AS,SEA,ANC,1449,0,,0,NA,NA,NA,NA,NA
2008,1,1,646,AS,212,N315AS,PDX,SFO,550,0,,0,NA,NA,NA,NA,NA
2008,1,1,1934,AS,524,N323AS,SEA,LAX,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,2350,AS,806,N558AS,SEA,DFW,1660,0,,0,NA,NA,NA,NA,NA
2008,1,1,1032,AS,447,N302AS,PSP,SEA,987,0,,0,NA,NA,NA,NA,NA
2008,1,1,2220,AS,804,N619AS,PDX,MCO,2534,0,,0,NA,NA,NA,NA,NA
2008,1,1,1454,AS,813,N623AS,DFW,SEA,1660,0,,0,NA,NA,NA,NA,NA
2008,1,1,1818,AS,15,N560AS,BOS,SEA,2496,0,,0,NA,NA,NA,NA,NA
2008,1,1,1809,AS,7,N569AS,EWR,SEA,2401,0,,0,NA,NA,NA,NA,NA
2008,1,1,1617,AS,66,N768AS,ANC,CDV,160,0,,0,52,0,13,0,0
2008,1,1,1613,AS,54,N763AS,SCC,ANC,626,0,,0,NA,NA,NA,NA,NA
2008,1,1,2030,AS,46,N763AS,BET,ANC,399,0,,0,NA,NA,NA,NA,NA
2008,1,1,1218,AS,43,N764AS,ANC,BET,399,0,,0,NA,NA,NA,NA,NA
2008,1,1,1326,AS,61,N768AS,CDV,ANC,160,0,,0,NA,NA,NA,NA,NA
2008,1,1,1623,AS,145,N764AS,ANC,FAI,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,1301,AS,152,N762AS,OME,OTZ,183,0,,0,NA,NA,NA,NA,NA
2008,1,1,1427,AS,44,N764AS,BET,ANC,399,0,,0,NA,NA,NA,NA,NA
2008,1,1,1157,AS,61,N768AS,YAK,CDV,213,0,,0,NA,NA,NA,NA,NA
2008,1,1,1837,AS,45,N763AS,ANC,BET,399,0,,0,NA,NA,NA,NA,NA
2008,1,1,2212,AS,146,N764AS,FAI,ANC,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,1024,AS,61,N768AS,JNU,YAK,199,0,,0,NA,NA,NA,NA,NA
2008,1,1,1122,AS,64,N765AS,ANC,JNU,571,0,,0,0,0,18,0,0
2008,1,1,1104,AS,143,N763AS,BRW,ANC,725,0,,0,NA,NA,NA,NA,NA
2008,1,1,1935,AS,153,N762AS,OTZ,OME,183,0,,0,NA,NA,NA,NA,NA
2008,1,1,1642,AS,64,N765AS,WRG,KTN,82,0,,0,NA,NA,NA,NA,NA
2008,1,1,1725,AS,153,N762AS,ANC,OTZ,549,0,,0,NA,NA,NA,NA,NA
2008,1,1,1959,AS,146,N764AS,BRW,FAI,503,0,,0,NA,NA,NA,NA,NA
2008,1,1,1428,AS,64,N765AS,JNU,PSG,123,0,,0,5,0,3,0,18
2008,1,1,1043,AS,152,N762AS,ANC,OME,539,0,,0,NA,NA,NA,NA,NA
2008,1,1,657,AS,30,N762AS,ANC,ADQ,252,0,,0,NA,NA,NA,NA,NA
2008,1,1,2057,AS,153,N762AS,OME,ANC,539,0,,0,NA,NA,NA,NA,NA
2008,1,1,1736,AS,66,N768AS,CDV,YAK,213,0,,0,0,0,6,0,38
2008,1,1,1757,AS,145,N764AS,FAI,BRW,503,0,,0,NA,NA,NA,NA,NA
2008,1,1,553,AS,143,N763AS,ANC,FAI,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,919,AS,143,N763AS,SCC,BRW,204,0,,0,NA,NA,NA,NA,NA
2008,1,1,2011,AS,66,N768AS,JNU,SEA,909,0,,0,0,0,18,0,6
2008,1,1,1448,AS,152,N762AS,OTZ,ANC,549,0,,0,NA,NA,NA,NA,NA
2008,1,1,816,AS,61,N768AS,SEA,JNU,909,0,,0,NA,NA,NA,NA,NA
2008,1,1,1339,AS,55,N763AS,ANC,SCC,626,0,,0,NA,NA,NA,NA,NA
2008,1,1,1549,AS,64,N765AS,PSG,WRG,31,0,,0,NA,NA,NA,NA,NA
2008,1,1,1843,AS,66,N768AS,YAK,JNU,199,0,,0,0,0,4,0,13
2008,1,1,845,AS,31,N762AS,ADQ,ANC,252,0,,0,NA,NA,NA,NA,NA
2008,1,1,721,AS,143,N763AS,FAI,SCC,373,0,,0,NA,NA,NA,NA,NA
2008,1,1,1801,AS,64,N765AS,KTN,SEA,680,0,,0,NA,NA,NA,NA,NA
2008,1,1,1837,AS,707,N961AS,PHX,PDX,1009,0,,0,NA,NA,NA,NA,NA
2008,1,1,1746,AS,385,N948AS,OAK,PDX,543,0,,0,35,0,0,0,0
2008,1,1,1634,AS,32,N799AS,ANC,ADQ,252,0,,0,NA,NA,NA,NA,NA
2008,1,1,820,AS,208,N586AS,SEA,SFO,679,0,,0,NA,NA,NA,NA,NA
